Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2014-09-17,465.864014,468.174011,452.421997,457.334015,21056800,4553.959961,4582.399902,4539.359863,4562.189941,1796710000,1236.2,1236.2,1221.9,1234.4,10,1
2014-09-18,456.859985,456.859985,413.104004,424.440002,34483200,4575.740234,4593.97998,4572.620117,4593.430176,1774840000,1216.2,1225.7,1216.2,1225.7,5,-1
2014-09-19,424.102997,427.834991,384.532013,394.79599,37919700,4606.129883,4610.569824,4563.439941,4579.790039,3178490000,1218.3,1218.3,1215.3,1215.3,4,-1
2014-09-20,394.673004,423.29599,389.882996,408.903992,36863600,4606.129883,4610.569824,4563.439941,4579.790039,3178490000,1218.3,1218.3,1215.3,1215.3,4,1
2014-09-21,408.084991,412.425995,393.181,398.821014,26580100,4606.129883,4610.569824,4563.439941,4579.790039,3178490000,1218.3,1218.3,1215.3,1215.3,4,-1
2014-09-22,399.100006,406.915985,397.130005,402.152008,24127600,4568.450195,4568.870117,4513.120117,4527.689941,1881520000,1214.9,1216.8,1212.4,1216.8,7,1
2014-09-23,402.09201,441.557007,396.196991,435.790985,45099500,4511.319824,4536.029785,4508.419922,4508.689941,1847730000,1221,1221,1221,1221,5,1
2014-09-24,435.751007,436.112,421.131989,423.204987,30627700,4514.919922,4557.27002,4500.129883,4555.220215,1765260000,1218.6,1218.6,1216.8,1218.6,2,-1
2014-09-25,423.156006,423.519989,409.467987,411.574005,26814400,4540.819824,4546.930176,4466.640137,4466.75,1939610000,1209.5,1221.2,1209.5,1221.2,11,-1
2014-09-26,411.428986,414.937988,400.009003,404.424988,21460800,4476.47998,4515.75,4475.47998,4512.189941,1637480000,1214.1,1214.1,1214.1,1214.1,19497,-1
2014-09-27,403.556,406.622986,397.372009,399.519989,15029300,4476.47998,4515.75,4475.47998,4512.189941,1637480000,1214.1,1214.1,1214.1,1214.1,19497,-1
2014-09-28,399.471008,401.016998,374.332001,377.181,23613300,4476.47998,4515.75,4475.47998,4512.189941,1637480000,1214.1,1214.1,1214.1,1214.1,19497,-1
2014-09-29,376.928009,385.210999,372.23999,375.46701,32497700,4465.839844,4515.240234,4464.439941,4505.850098,1737750000,1216.3,1222.2,1214.8,1217.5,6344,-1
2014-09-30,376.088013,390.97699,373.442993,386.944,34707300,4512.640137,4522.060059,4483.910156,4493.390137,2200380000,1214.8,1218.2,1204,1210.5,680,1
2014-10-01,387.427002,391.378998,380.779999,383.61499,26229400,4486.649902,4486.790039,4409.299805,4422.089844,2312630000,1207.7,1217.8,1205.5,1214.6,178,-1
2014-10-02,383.988007,385.497009,372.946014,375.071991,21777700,4421.25,4441.950195,4367.740234,4430.200195,2165500000,1215.3,1219.5,1210.3,1214.2,176,-1
2014-10-03,375.181,377.695007,357.859009,359.511993,30901200,4456.810059,4488.069824,4445.720215,4475.620117,1777640000,1212.4,1212.4,1191,1192.2,499,-1
2014-10-04,359.891998,364.487,325.885986,328.865997,47236500,4456.810059,4488.069824,4445.720215,4475.620117,1777640000,1212.4,1212.4,1191,1192.2,499,-1
2014-10-05,328.915985,341.800995,289.29599,320.51001,83308096,4456.810059,4488.069824,4445.720215,4475.620117,1777640000,1212.4,1212.4,1191,1192.2,499,-1
2014-10-06,320.389008,345.134003,302.559998,330.07901,79011800,4492.399902,4496.259766,4444.100098,4454.799805,1828240000,1187.7,1208,1182.8,1206.7,415,1
